	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AI059185_at	117.9	A	0.339558	0.3	NC	0.500000	rc_AI059185 UI-R-C1-kq-h-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kq-h-08-0-UI /clone_end=3  /gb=AI059185 /ug=Rn.21047 /len=244
rc_AI059188_at	187.1	A	0.073830	0.2	NC	0.500000	rc_AI059188 UI-R-C1-kq-h-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kq-h-12-0-UI /clone_end=3  /gb=AI059188 /ug=Rn.21048 /len=326
rc_AI059192_at	316.6	P	0.019304	0.1	NC	0.679919	rc_AI059192 UI-R-C1-lb-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-a-11-0-UI /clone_end=3  /gb=AI059192 /ug=Rn.19094 /len=496
rc_AI059200_at	47.4	A	0.520620	2.3	NC	0.382400	rc_AI059200 UI-R-C1-lb-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-c-08-0-UI /clone_end=3  /gb=AI059200 /ug=Rn.21049 /len=451
rc_AI059202_at	71.7	A	0.378184	-0.2	NC	0.500000	rc_AI059202 UI-R-C1-lb-c-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-c-11-0-UI /clone_end=3  /gb=AI059202 /ug=Rn.21050 /len=532
rc_AI059204_at	35.8	A	0.641310	-1.3	NC	0.794676	rc_AI059204 UI-R-C1-lb-d-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-d-07-0-UI /clone_end=3  /gb=AI059204 /ug=Rn.21051 /len=470
rc_AI059205_at	30.6	A	0.732537	0.6	NC	0.238679	rc_AI059205 UI-R-C1-lb-d-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-d-08-0-UI /clone_end=3  /gb=AI059205 /ug=Rn.18966 /len=423
rc_AI059206_at	27.4	A	0.715253	0.5	NC	0.189741	rc_AI059206 UI-R-C1-lb-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-d-10-0-UI /clone_end=3  /gb=AI059206 /ug=Rn.21053 /len=368
rc_AI059208_at	30.4	A	0.781017	-1.3	NC	0.693175	rc_AI059208 UI-R-C1-lb-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-d-12-0-UI /clone_end=3  /gb=AI059208 /ug=Rn.19099 /len=462
rc_AI059209_at	237.3	A	0.081337	-0.3	NC	0.529811	rc_AI059209 UI-R-C1-lb-e-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-e-08-0-UI /clone_end=3  /gb=AI059209 /ug=Rn.21054 /len=161
rc_AI059216_at	25.1	A	0.968664	0.3	NC	0.500000	rc_AI059216 UI-R-C1-lb-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-f-11-0-UI /clone_end=3  /gb=AI059216 /ug=Rn.21055 /len=293
rc_AI059218_at	184.1	P	0.031336	-0.2	NC	0.500000	rc_AI059218 UI-R-C1-lb-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-g-09-0-UI /clone_end=3  /gb=AI059218 /ug=Rn.19100 /len=455
rc_AI059220_at	9.3	A	0.985063	0.6	NC	0.361190	rc_AI059220 UI-R-C1-lb-g-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-g-12-0-UI /clone_end=3  /gb=AI059220 /ug=Rn.21056 /len=402
rc_AI059223_at	57.2	A	0.660442	0.1	NC	0.500000	rc_AI059223 UI-R-C1-lb-h-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-h-09-0-UI /clone_end=3  /gb=AI059223 /ug=Rn.19102 /len=494
rc_AI059226_at	10.4	A	0.951005	0.6	NC	0.500000	rc_AI059226 UI-R-C1-ld-a-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-a-02-0-UI /clone_end=3  /gb=AI059226 /ug=Rn.21058 /len=452
rc_AI059227_at	130.2	A	0.378184	2.2	NC	0.418517	rc_AI059227 UI-R-C1-ld-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-a-06-0-UI /clone_end=3  /gb=AI059227 /ug=Rn.7699 /len=453
rc_AI059228_at	97.9	A	0.697453	1.5	NC	0.500000	rc_AI059228 UI-R-C1-ld-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-01-0-UI /clone_end=3  /gb=AI059228 /ug=Rn.21059 /len=321
rc_AI059229_at	59.1	A	0.358690	1.7	NC	0.500000	rc_AI059229 UI-R-C1-ld-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-02-0-UI /clone_end=3  /gb=AI059229 /ug=Rn.21060 /len=524
rc_AI059232_at	39.7	A	0.765443	0.3	NC	0.500000	rc_AI059232 UI-R-C1-ld-b-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-05-0-UI /clone_end=3  /gb=AI059232 /ug=Rn.21062 /len=466
rc_AI059233_at	60.0	A	0.749276	1.1	NC	0.624713	rc_AI059233 UI-R-C1-ld-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-06-0-UI /clone_end=3  /gb=AI059233 /ug=Rn.21063 /len=235
rc_AI059234_at	178.5	P	0.019304	0.3	NC	0.500000	rc_AI059234 UI-R-C1-ld-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-c-01-0-UI /clone_end=3  /gb=AI059234 /ug=Rn.2120 /len=450
rc_AI059235_at	115.1	A	0.378184	-0.1	NC	0.693175	rc_AI059235 UI-R-C1-ld-c-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-c-02-0-UI /clone_end=3  /gb=AI059235 /ug=Rn.19103 /len=493
rc_AI059238_at	13.7	A	0.994357	0.3	NC	0.232922	rc_AI059238 UI-R-C1-ld-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-c-05-0-UI /clone_end=3  /gb=AI059238 /ug=Rn.19105 /len=432
rc_AI059240_at	60.1	A	0.500000	0.4	NC	0.500000	rc_AI059240 UI-R-C1-ld-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-02-0-UI /clone_end=3  /gb=AI059240 /ug=Rn.21064 /len=602
rc_AI059241_at	107.9	M	0.048995	-0.2	NC	0.500000	rc_AI059241 UI-R-C1-ld-d-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-03-0-UI /clone_end=3  /gb=AI059241 /ug=Rn.19106 /len=521
rc_AI059242_at	22.8	A	0.951005	-0.6	NC	0.767078	rc_AI059242 UI-R-C1-ld-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-04-0-UI /clone_end=3  /gb=AI059242 /ug=Rn.19107 /len=369
rc_AI059243_at	30.3	A	0.715253	-1.6	NC	0.447930	rc_AI059243 UI-R-C1-ld-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-05-0-UI /clone_end=3  /gb=AI059243 /ug=Rn.21065 /len=393
rc_AI059244_at	626.1	P	0.001141	0.0	NC	0.500000	rc_AI059244 UI-R-C1-ld-d-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-06-0-UI /clone_end=3  /gb=AI059244 /ug=Rn.19437 /len=424
rc_AI059246_at	158.7	A	0.218983	0.3	NC	0.500000	rc_AI059246 UI-R-C1-ld-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-e-02-0-UI /clone_end=3  /gb=AI059246 /ug=Rn.19108 /len=209
rc_AI059254_at	273.7	A	0.060419	0.0	NC	0.500000	rc_AI059254 UI-R-C1-ld-f-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-f-06-0-UI /clone_end=3  /gb=AI059254 /ug=Rn.19110 /len=436
rc_AI059255_at	7.0	A	0.995496	1.0	NC	0.293817	rc_AI059255 UI-R-C1-ld-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-g-01-0-UI /clone_end=3  /gb=AI059255 /ug=Rn.21068 /len=377
rc_AI059258_at	59.6	A	0.458816	-1.0	NC	0.500000	rc_AI059258 UI-R-C1-ld-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-g-04-0-UI /clone_end=3  /gb=AI059258 /ug=Rn.15093 /len=404
rc_AI059260_at	18.1	A	0.824011	-0.3	NC	0.389553	rc_AI059260 UI-R-C1-ld-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-g-06-0-UI /clone_end=3  /gb=AI059260 /ug=Rn.21069 /len=427
rc_AI059262_at	102.8	A	0.339558	0.0	NC	0.500000	rc_AI059262 UI-R-C1-ld-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-h-03-0-UI /clone_end=3  /gb=AI059262 /ug=Rn.19111 /len=444
rc_AI059265_at	12.0	A	0.939581	-1.4	NC	0.537245	rc_AI059265 UI-R-C1-lb-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-a-03-0-UI /clone_end=3  /gb=AI059265 /ug=Rn.19112 /len=151
rc_AI059268_at	253.0	A	0.284747	0.3	NC	0.500000	rc_AI059268 UI-R-C1-lb-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-a-06-0-UI /clone_end=3  /gb=AI059268 /ug=Rn.17609 /len=432
rc_AI059270_at	25.8	A	0.641310	0.6	NC	0.440543	rc_AI059270 UI-R-C1-lb-b-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-b-04-0-UI /clone_end=3  /gb=AI059270 /ug=Rn.19114 /len=324
rc_AI059272_at	106.6	A	0.267463	1.8	NC	0.500000	rc_AI059272 UI-R-C1-lb-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-c-01-0-UI /clone_end=3  /gb=AI059272 /ug=Rn.25090 /len=400
rc_AI059277_at	61.6	A	0.581931	0.3	NC	0.500000	rc_AI059277 UI-R-C1-lb-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-d-01-0-UI /clone_end=3  /gb=AI059277 /ug=Rn.19117 /len=202
rc_AI059282_at	18.9	A	0.975289	0.4	NC	0.320081	rc_AI059282 UI-R-C1-lb-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-e-03-0-UI /clone_end=3  /gb=AI059282 /ug=Rn.19120 /len=234
rc_AI059285_s_at	19.3	A	0.849473	0.6	NC	0.080395	rc_AI059285 UI-R-C1-lb-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-f-01-0-UI /clone_end=3  /gb=AI059285 /ug=Rn.19121 /len=185
rc_AI059288_at	14.1	A	0.732537	0.9	NC	0.007531	rc_AI059288 UI-R-C1-lb-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-g-01-0-UI /clone_end=3  /gb=AI059288 /ug=Rn.19123 /len=270
rc_AI059290_at	201.3	A	0.150527	0.1	NC	0.500000	rc_AI059290 UI-R-C1-lb-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lb-h-02-0-UI /clone_end=3  /gb=AI059290 /ug=Rn.19124 /len=402
rc_AI059294_at	207.6	P	0.027860	0.5	NC	0.500000	rc_AI059294 UI-R-C1-lf-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-a-01-0-UI /clone_end=3  /gb=AI059294 /ug=Rn.21070 /len=279
rc_AI059295_at	2.5	A	0.998646	-0.3	NC	0.500000	rc_AI059295 UI-R-C1-lf-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-a-03-0-UI /clone_end=3  /gb=AI059295 /ug=Rn.16492 /len=369
rc_AI059297_at	130.1	A	0.660442	1.5	NC	0.500000	rc_AI059297 UI-R-C1-lf-a-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-a-05-0-UI /clone_end=3  /gb=AI059297 /ug=Rn.18975 /len=256
rc_AI059298_at	249.9	P	0.024711	0.4	NC	0.340398	rc_AI059298 UI-R-C1-lf-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-a-06-0-UI /clone_end=3  /gb=AI059298 /ug=Rn.19126 /len=302
rc_AI059300_at	43.2	A	0.956032	0.4	NC	0.112101	rc_AI059300 UI-R-C1-lf-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-a-11-0-UI /clone_end=3  /gb=AI059300 /ug=Rn.19127 /len=167
rc_AI059305_at	454.9	P	0.001354	0.0	NC	0.673203	rc_AI059305 UI-R-C1-lf-b-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-b-04-0-UI /clone_end=3  /gb=AI059305 /ug=Rn.19128 /len=328
rc_AI059306_at	62.2	A	0.397994	1.3	NC	0.411228	rc_AI059306 UI-R-C1-lf-b-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-b-05-0-UI /clone_end=3  /gb=AI059306 /ug=Rn.19129 /len=371
rc_AI059311_at	42.1	A	0.621816	0.7	NC	0.021718	rc_AI059311 UI-R-C1-lf-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-b-10-0-UI /clone_end=3  /gb=AI059311 /ug=Rn.21072 /len=325
rc_AI059312_at	132.1	A	0.500000	0.1	NC	0.500000	rc_AI059312 UI-R-C1-lf-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-b-11-0-UI /clone_end=3  /gb=AI059312 /ug=Rn.19131 /len=272
rc_AI059313_at	146.2	M	0.054470	0.6	NC	0.005796	rc_AI059313 UI-R-C1-lf-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-b-12-0-UI /clone_end=3  /gb=AI059313 /ug=Rn.19132 /len=291
rc_AI059320_at	27.0	A	0.985063	0.9	NC	0.053906	rc_AI059320 UI-R-C1-lf-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-c-08-0-UI /clone_end=3  /gb=AI059320 /ug=Rn.19135 /len=252
rc_AI059322_at	125.2	A	0.218983	0.8	NC	0.006789	rc_AI059322 UI-R-C1-lf-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-c-10-0-UI /clone_end=3  /gb=AI059322 /ug=Rn.21073 /len=319
rc_AI059323_at	99.2	A	0.060419	0.6	NC	0.244512	rc_AI059323 UI-R-C1-lf-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-c-12-0-UI /clone_end=3  /gb=AI059323 /ug=Rn.19137 /len=322
rc_AI059325_at	10.5	A	0.956032	1.2	NC	0.072349	rc_AI059325 UI-R-C1-lf-d-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-d-03-0-UI /clone_end=3  /gb=AI059325 /ug=Rn.21074 /len=376
rc_AI059330_at	41.0	A	0.520620	-0.5	NC	0.500000	rc_AI059330 UI-R-C1-lf-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-d-10-0-UI /clone_end=3  /gb=AI059330 /ug=Rn.19098 /len=409
rc_AI059336_at	19.5	A	0.939581	0.7	NC	0.025906	rc_AI059336 UI-R-C1-lf-e-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-e-07-0-UI /clone_end=3  /gb=AI059336 /ug=Rn.19139 /len=382
rc_AI059337_at	40.5	A	0.458816	-2.0	NC	0.815287	rc_AI059337 UI-R-C1-lf-e-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-e-08-0-UI /clone_end=3  /gb=AI059337 /ug=Rn.22566 /len=421
rc_AI059338_at	28.8	A	0.824011	0.4	NC	0.500000	rc_AI059338 UI-R-C1-lf-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-e-09-0-UI /clone_end=3  /gb=AI059338 /ug=Rn.19140 /len=318
rc_AI059340_s_at	177.1	P	0.014937	0.5	NC	0.020766	rc_AI059340 UI-R-C1-lf-f-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-f-07-0-UI /clone_end=3  /gb=AI059340 /ug=Rn.22567 /len=177
rc_AI059341_at	58.7	A	0.749276	0.4	NC	0.023735	rc_AI059341 UI-R-C1-lf-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-g-04-0-UI /clone_end=3  /gb=AI059341 /ug=Rn.19141 /len=355
rc_AI059342_at	82.1	A	0.715253	0.6	NC	0.500000	rc_AI059342 UI-R-C1-lf-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-g-05-0-UI /clone_end=3  /gb=AI059342 /ug=Rn.21075 /len=474
rc_AI059345_at	332.9	P	0.011447	0.1	NC	0.500000	rc_AI059345 UI-R-C1-lf-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-g-09-0-UI /clone_end=3  /gb=AI059345 /ug=Rn.19142 /len=281
rc_AI059348_at	8.8	A	0.939581	0.9	NC	0.151871	rc_AI059348 UI-R-C1-lf-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-h-02-0-UI /clone_end=3  /gb=AI059348 /ug=Rn.21076 /len=340
rc_AI059352_at	35.9	A	0.679170	0.1	NC	0.500000	rc_AI059352 UI-R-C1-lf-h-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-lf-h-08-0-UI /clone_end=3  /gb=AI059352 /ug=Rn.19143 /len=306
rc_AI059354_at	59.4	A	0.749276	0.4	NC	0.134962	rc_AI059354 UI-R-C1-ld-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-a-09-0-UI /clone_end=3  /gb=AI059354 /ug=Rn.21077 /len=330
rc_AI059355_at	104.9	A	0.175989	0.3	NC	0.382400	rc_AI059355 UI-R-C1-ld-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-08-0-UI /clone_end=3  /gb=AI059355 /ug=Rn.19144 /len=349
rc_AI059356_at	135.0	A	0.267463	0.4	NC	0.019849	rc_AI059356 UI-R-C1-ld-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-b-09-0-UI /clone_end=3  /gb=AI059356 /ug=Rn.21078 /len=278
rc_AI059365_at	36.7	A	0.621816	0.4	NC	0.411228	rc_AI059365 UI-R-C1-ld-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-09-0-UI /clone_end=3  /gb=AI059365 /ug=Rn.19148 /len=361
rc_AI059366_at	18.5	A	0.810313	1.6	NC	0.170131	rc_AI059366 UI-R-C1-ld-d-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-11-0-UI /clone_end=3  /gb=AI059366 /ug=Rn.19149 /len=338
rc_AI059367_at	27.3	A	0.749276	-1.8	NC	0.500000	rc_AI059367 UI-R-C1-ld-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-d-12-0-UI /clone_end=3  /gb=AI059367 /ug=Rn.21079 /len=162
rc_AI059369_at	9.7	A	0.781017	-2.5	NC	0.825092	rc_AI059369 UI-R-C1-ld-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-e-09-0-UI /clone_end=3  /gb=AI059369 /ug=Rn.19150 /len=379
rc_AI059371_at	79.0	A	0.127645	-0.6	NC	0.767078	rc_AI059371 UI-R-C1-ld-f-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-f-09-0-UI /clone_end=3  /gb=AI059371 /ug=Rn.19151 /len=216
rc_AI059378_at	17.8	A	0.715253	-0.4	NC	0.679919	rc_AI059378 UI-R-C1-ld-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-ld-h-10-0-UI /clone_end=3  /gb=AI059378 /ug=Rn.19154 /len=206
rc_AI059379_at	72.3	A	0.358690	-0.3	NC	0.500000	rc_AI059379 UI-R-C1-le-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-a-01-0-UI /clone_end=3  /gb=AI059379 /ug=Rn.21080 /len=289
rc_AI059385_at	37.5	A	0.715253	-1.2	NC	0.500000	rc_AI059385 UI-R-C1-le-b-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-b-04-0-UI /clone_end=3  /gb=AI059385 /ug=Rn.21081 /len=418
rc_AI059386_at	233.8	P	0.011447	0.6	NC	0.115705	rc_AI059386 UI-R-C1-le-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-c-01-0-UI /clone_end=3  /gb=AI059386 /ug=Rn.19157 /len=243
rc_AI059389_at	93.6	A	0.660442	0.3	NC	0.411228	rc_AI059389 UI-R-C1-le-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-c-04-0-UI /clone_end=3  /gb=AI059389 /ug=Rn.19158 /len=405
rc_AI059391_at	94.9	A	0.438361	0.4	NC	0.210683	rc_AI059391 UI-R-C1-le-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-d-02-0-UI /clone_end=3  /gb=AI059391 /ug=Rn.19160 /len=432
rc_AI059392_at	32.8	A	0.541184	0.4	NC	0.500000	rc_AI059392 UI-R-C1-le-d-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-d-03-0-UI /clone_end=3  /gb=AI059392 /ug=Rn.19161 /len=478
rc_AI059395_at	124.3	P	0.024711	0.2	NC	0.500000	rc_AI059395 UI-R-C1-le-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-e-03-0-UI /clone_end=3  /gb=AI059395 /ug=Rn.19162 /len=284
rc_AI059402_at	186.5	A	0.320830	0.4	NC	0.500000	rc_AI059402 UI-R-C1-le-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-g-03-0-UI /clone_end=3  /gb=AI059402 /ug=Rn.14600 /len=478
rc_AI059403_at	590.9	P	0.001141	0.2	NC	0.500000	rc_AI059403 UI-R-C1-le-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-g-04-0-UI /clone_end=3  /gb=AI059403 /ug=Rn.17559 /len=156
rc_AI059408_at	315.4	P	0.024711	0.6	NC	0.250422	rc_AI059408 UI-R-C1-le-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-le-h-06-0-UI /clone_end=3  /gb=AI059408 /ug=Rn.19164 /len=433
rc_AI059409_at	11.2	A	0.983000	0.4	NC	0.403969	rc_AI059409 UI-R-C1-kw-a-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-07-0-UI /clone_end=3  /gb=AI059409 /ug=Rn.2136 /len=520
rc_AI059410_at	248.4	A	0.138765	0.4	NC	0.500000	rc_AI059410 UI-R-C1-kw-a-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-08-0-UI /clone_end=3  /gb=AI059410 /ug=Rn.2145 /len=442
rc_AI059411_at	83.4	A	0.679170	2.9	NC	0.433177	rc_AI059411 UI-R-C1-kw-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-09-0-UI /clone_end=3  /gb=AI059411 /ug=Rn.16170 /len=515
rc_AI059413_at	67.3	A	0.302547	1.0	NC	0.020766	rc_AI059413 UI-R-C1-kw-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-a-11-0-UI /clone_end=3  /gb=AI059413 /ug=Rn.22568 /len=462
rc_AI059416_at	22.0	A	0.837065	0.6	NC	0.281070	rc_AI059416 UI-R-C1-kw-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-08-0-UI /clone_end=3  /gb=AI059416 /ug=Rn.21082 /len=449
rc_AI059417_at	1027.9	P	0.000219	0.3	NC	0.300289	rc_AI059417 UI-R-C1-kw-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-09-0-UI /clone_end=3  /gb=AI059417 /ug=Rn.19928 /len=372
rc_AI059420_at	9.2	A	0.849473	-0.2	NC	0.948111	rc_AI059420 UI-R-C1-kw-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-b-12-0-UI /clone_end=3  /gb=AI059420 /ug=Rn.19165 /len=423
rc_AI059421_at	183.4	A	0.641310	0.8	NC	0.500000	rc_AI059421 UI-R-C1-kw-c-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-07-0-UI /clone_end=3  /gb=AI059421 /ug=Rn.19166 /len=311
rc_AI059426_at	557.0	P	0.000562	0.3	NC	0.151871	rc_AI059426 UI-R-C1-kw-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-c-12-0-UI /clone_end=3  /gb=AI059426 /ug=Rn.18935 /len=485
rc_AI059428_at	704.8	P	0.000388	0.2	NC	0.500000	rc_AI059428 UI-R-C1-kw-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-d-09-0-UI /clone_end=3  /gb=AI059428 /ug=Rn.19169 /len=252
rc_AI059431_i_at	25.6	A	0.872006	1.6	NC	0.021383	rc_AI059431 UI-R-C1-kw-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-d-12-0-UI /clone_end=3  /gb=AI059431 /ug=Rn.22570 /len=306
rc_AI059434_at	189.5	A	0.234557	1.5	NC	0.027053	rc_AI059434 UI-R-C1-kw-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-09-0-UI /clone_end=3  /gb=AI059434 /ug=Rn.19172 /len=325
rc_AI059437_at	268.6	A	0.081337	0.1	NC	0.500000	rc_AI059437 UI-R-C1-kw-e-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-e-12-0-UI /clone_end=3  /gb=AI059437 /ug=Rn.19173 /len=431
rc_AI059440_at	33.0	A	0.602006	-0.7	NC	0.500000	rc_AI059440 UI-R-C1-kw-f-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C1-kw-f-09-0-UI /clone_end=3  /gb=AI059440 /ug=Rn.5794 /len=372
