	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
rc_AA859473_at	22.4	A	0.541184	-0.4	NC	0.955585	rc_AA859473 UI-R-E0-bv-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-e-09-0-UI /clone_end=3  /gb=AA859473 /gi=2948993 /ug=Rn.22616 /len=441
rc_AA859474_at	18.7	A	0.189687	0.4	NC	0.333570	rc_AA859474 UI-R-E0-bv-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-e-10-0-UI /clone_end=3  /gb=AA859474 /gi=2948994 /ug=Rn.23186 /len=490
rc_AA859479_at	110.5	P	0.039365	0.3	NC	0.500000	rc_AA859479 UI-R-E0-bv-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-f-03-0-UI /clone_end=3  /gb=AA859479 /gi=2948999 /ug=Rn.8380 /len=441
rc_AA859483_at	374.4	P	0.001892	0.0	NC	0.500000	rc_AA859483 UI-R-E0-bv-f-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-f-07-0-UI /clone_end=3  /gb=AA859483 /gi=2949003 /ug=Rn.231 /len=416
rc_AA859495_at	31.2	A	0.378165	0.5	NC	0.673203	rc_AA859495 UI-R-E0-bv-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-g-07-0-UI /clone_end=3  /gb=AA859495 /gi=2949015 /ug=Rn.237 /len=438
rc_AA859495_g_at	17.1	A	0.765443	0.3	NC	0.772757	rc_AA859495 UI-R-E0-bv-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-g-07-0-UI /clone_end=3  /gb=AA859495 /gi=2949015 /ug=Rn.237 /len=438
rc_AA859502_at	92.6	A	0.098054	-0.3	NC	0.991655	rc_AA859502 UI-R-E0-bv-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-h-03-0-UI /clone_end=3  /gb=AA859502 /gi=2949022 /ug=Rn.239 /len=472
rc_AA859508_at	130.2	P	0.011447	-0.1	NC	0.500000	rc_AA859508 UI-R-E0-bv-h-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-h-11-0-UI /clone_end=3  /gb=AA859508 /gi=2949028 /ug=Rn.242 /len=534
rc_AA859509_s_at	46.1	A	0.621816	1.5	NC	0.743593	rc_AA859509 UI-R-E0-br-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-a-01-0-UI /clone_end=3  /gb=AA859509 /gi=2949029 /ug=Rn.243 /len=452
rc_AA859513_f_at	3.1	A	0.972140	-0.4	NC	0.904720	rc_AA859513 UI-R-E0-br-a-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-a-05-0-UI /clone_end=3  /gb=AA859513 /gi=2949033 /ug=Rn.246 /len=102
rc_AA859519_at	97.4	P	0.035163	-0.3	NC	0.989275	rc_AA859519 UI-R-E0-br-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-b-01-0-UI /clone_end=3  /gb=AA859519 /gi=2949039 /ug=Rn.8565 /len=408
rc_AA859519_g_at	92.6	A	0.218983	-0.4	NC	0.843691	rc_AA859519 UI-R-E0-br-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-b-01-0-UI /clone_end=3  /gb=AA859519 /gi=2949039 /ug=Rn.8565 /len=408
rc_AA859520_at	455.5	P	0.000266	-0.1	NC	0.596031	rc_AA859520 UI-R-E0-br-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-b-02-0-UI /clone_end=3  /gb=AA859520 /gi=2949040 /ug=Rn.23034 /len=453
rc_AA859524_at	21.5	A	0.378184	-1.5	NC	0.659602	rc_AA859524 UI-R-E0-br-b-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-b-07-0-UI /clone_end=3  /gb=AA859524 /gi=2949044 /ug=Rn.251 /len=482
rc_AA859529_at	295.7	P	0.007543	-0.1	NC	0.500000	rc_AA859529 UI-R-E0-br-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-b-12-0-UI /clone_end=3  /gb=AA859529 /gi=2949049 /ug=Rn.252 /len=431
rc_AA859532_at	1.4	A	0.993468	-0.2	NC	0.500000	rc_AA859532 UI-R-E0-br-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-c-04-0-UI /clone_end=3  /gb=AA859532 /gi=2949052 /ug=Rn.253 /len=291
rc_AA859533_at	115.9	A	0.302547	0.1	NC	0.507459	rc_AA859533 UI-R-E0-br-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-c-05-0-UI /clone_end=3  /gb=AA859533 /gi=2949053 /ug=Rn.254 /len=357
rc_AA859536_at	6473.6	P	0.000219	0.2	NC	0.072349	rc_AA859536 UI-R-E0-br-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-c-08-0-UI /clone_end=3  /gb=AA859536 /gi=2949056 /ug=Rn.14 /len=531
rc_AA859543_at	28.3	A	0.339558	1.7	NC	0.500000	rc_AA859543 UI-R-E0-br-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-d-04-0-UI /clone_end=3  /gb=AA859543 /gi=2949063 /ug=Rn.259 /len=555
rc_AA859545_at	202.3	P	0.002617	-0.1	NC	0.631784	rc_AA859545 UI-R-E0-br-d-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-d-06-0-UI /clone_end=3  /gb=AA859545 /gi=2949065 /ug=Rn.261 /len=512
rc_AA859549_at	44.5	A	0.541184	0.6	NC	0.852483	rc_AA859549 UI-R-E0-br-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-br-d-10-0-UI /clone_end=3  /gb=AA859549 /gi=2949069 /ug=Rn.2501 /len=506
rc_AA859552_at	18.8	A	0.438361	-1.4	NC	0.500000	rc_AA859552 UI-R-E0-bv-a-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-a-02-0-UI /clone_end=3  /gb=AA859552 /gi=2949072 /ug=Rn.10958 /len=442
rc_AA859553_at	63.4	A	0.162935	0.2	NC	0.767078	rc_AA859553 UI-R-E0-bv-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-a-03-0-UI /clone_end=3  /gb=AA859553 /gi=2949073 /ug=Rn.22617 /len=515
rc_AA859561_at	4.3	A	0.997772	-0.5	NC	0.559457	rc_AA859561 UI-R-E0-bv-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-b-02-0-UI /clone_end=3  /gb=AA859561 /gi=2949081 /ug=Rn.267 /len=298
rc_AA859562_at	219.3	P	0.024711	0.1	NC	0.500000	rc_AA859562 UI-R-E0-bv-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-b-03-0-UI /clone_end=3  /gb=AA859562 /gi=2949082 /ug=Rn.268 /len=122
rc_AA859565_at	5.1	A	0.872355	-0.3	NC	0.610447	rc_AA859565 UI-R-E0-bv-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-b-06-0-UI /clone_end=3  /gb=AA859565 /gi=2949085 /ug=Rn.3269 /len=467
rc_AA859577_at	139.3	P	0.003067	-0.5	D	0.999966	rc_AA859577 UI-R-E0-bv-c-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-c-09-0-UI /clone_end=3  /gb=AA859577 /gi=2949097 /ug=Rn.1 /len=444
rc_AA859578_at	5.8	A	0.765443	-0.1	NC	0.500000	rc_AA859578 UI-R-E0-bv-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-c-10-0-UI /clone_end=3  /gb=AA859578 /gi=2949098 /ug=Rn.22620 /len=521
rc_AA859581_at	13.5	A	0.641310	-0.2	NC	0.645790	rc_AA859581 UI-R-E0-bv-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-d-01-0-UI /clone_end=3  /gb=AA859581 /gi=2949101 /ug=Rn.4346 /len=540
rc_AA859584_at	18.4	A	0.358690	-1.2	D	0.999994	rc_AA859584 UI-R-E0-bv-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-d-04-0-UI /clone_end=3  /gb=AA859584 /gi=2949104 /ug=Rn.3 /len=449
rc_AA859585_at	542.5	P	0.002228	-0.3	NC	0.962166	rc_AA859585 UI-R-E0-bv-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-d-05-0-UI /clone_end=3  /gb=AA859585 /gi=2949105 /ug=Rn.24950 /len=516
rc_AA859589_at	9.3	A	0.810313	-1.7	NC	0.922359	rc_AA859589 UI-R-E0-bv-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bv-d-10-0-UI /clone_end=3  /gb=AA859589 /gi=2949109 /ug=Rn.6 /len=271
rc_AA859593_at	62.4	A	0.581931	-1.1	NC	0.610447	rc_AA859593 UI-R-E0-bs-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-e-02-0-UI /clone_end=3  /gb=AA859593 /gi=2949113 /ug=Rn.22621 /len=406
rc_AA859597_at	181.7	A	0.089405	-0.4	NC	0.990290	rc_AA859597 UI-R-E0-bs-e-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-e-07-0-UI /clone_end=3  /gb=AA859597 /gi=2949117 /ug=Rn.8504 /len=464
rc_AA859612_r_at	11.0	A	0.437665	0.2	NC	0.985051	rc_AA859612 UI-R-E0-bs-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-f-12-0-UI /clone_end=3  /gb=AA859612 /gi=2949132 /ug=Rn.8481 /len=297
rc_AA859612_i_at	15.2	A	0.197123	-0.2	NC	0.500000	rc_AA859612 UI-R-E0-bs-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-f-12-0-UI /clone_end=3  /gb=AA859612 /gi=2949132 /ug=Rn.8481 /len=297
rc_AA859612_f_at	451.3	P	0.008689	0.1	NC	0.340398	rc_AA859612 UI-R-E0-bs-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-f-12-0-UI /clone_end=3  /gb=AA859612 /gi=2949132 /ug=Rn.8481 /len=297
rc_AA859616_at	412.7	P	0.000219	-0.4	D	0.997760	rc_AA859616 UI-R-E0-bs-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-g-04-0-UI /clone_end=3  /gb=AA859616 /gi=2949136 /ug=Rn.1515 /len=513
rc_AA859619_at	11.1	A	0.602006	-1.0	NC	0.992071	rc_AA859619 UI-R-E0-bs-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-g-07-0-UI /clone_end=3  /gb=AA859619 /gi=2949139 /ug=Rn.237 /len=472
rc_AA859626_at	96.2	P	0.009985	-0.4	NC	0.974094	rc_AA859626 UI-R-E0-bs-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-h-02-0-UI /clone_end=3  /gb=AA859626 /gi=2949146 /ug=Rn.24 /len=522
rc_AA859627_at	29.7	A	0.138765	-0.4	NC	0.500000	rc_AA859627 UI-R-E0-bs-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-h-03-0-UI /clone_end=3  /gb=AA859627 /gi=2949147 /ug=Rn.25 /len=419
rc_AA859631_at	31.0	A	0.500000	-0.7	NC	0.996649	rc_AA859631 UI-R-E0-bs-h-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-h-07-0-UI /clone_end=3  /gb=AA859631 /gi=2949151 /ug=Rn.22174 /len=507
rc_AA859633_at	151.9	A	0.089405	0.1	NC	0.500000	rc_AA859633 UI-R-E0-bs-h-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-h-09-0-UI /clone_end=3  /gb=AA859633 /gi=2949153 /ug=Rn.22409 /len=383
rc_AA859633_g_at	107.6	A	0.127645	-0.7	NC	0.941875	rc_AA859633 UI-R-E0-bs-h-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-h-09-0-UI /clone_end=3  /gb=AA859633 /gi=2949153 /ug=Rn.22409 /len=383
rc_AA859643_at	600.3	P	0.005643	-0.1	NC	0.559457	rc_AA859643 UI-R-E0-bs-a-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-a-08-0-UI /clone_end=3  /gb=AA859643 /gi=2949163 /ug=Rn.32 /len=482
rc_AA859645_at	276.5	P	0.000388	0.0	NC	0.500000	rc_AA859645 UI-R-E0-bs-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-a-10-0-UI /clone_end=3  /gb=AA859645 /gi=2949165 /ug=Rn.22428 /len=528
rc_AA859652_at	26.9	A	0.284747	-0.5	NC	0.932662	rc_AA859652 UI-R-E0-bs-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-b-06-0-UI /clone_end=3  /gb=AA859652 /gi=2949172 /ug=Rn.35 /len=529
rc_AA859661_at	14.0	A	0.765443	-0.9	NC	0.500000	rc_AA859661 UI-R-E0-bs-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-04-0-UI /clone_end=3  /gb=AA859661 /gi=2949181 /ug=Rn.7474 /len=544
rc_AA859662_at	22.3	A	0.581931	-1.5	NC	0.995812	rc_AA859662 UI-R-E0-bs-c-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-06-0-UI /clone_end=3  /gb=AA859662 /gi=2949182 /ug=Rn.40 /len=452
rc_AA859663_at	439.6	P	0.000959	0.0	NC	0.500000	rc_AA859663 UI-R-E0-bs-c-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-07-0-UI /clone_end=3  /gb=AA859663 /gi=2949183 /ug=Rn.41 /len=353
rc_AA859665_at	307.0	P	0.039365	0.1	NC	0.500000	rc_AA859665 UI-R-E0-bs-c-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-09-0-UI /clone_end=3  /gb=AA859665 /gi=2949185 /ug=Rn.43 /len=400
rc_AA859666_i_at	64.9	A	0.649648	-1.3	NC	0.707486	rc_AA859666 UI-R-E0-bs-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-10-0-UI /clone_end=3  /gb=AA859666 /gi=2949186 /ug=Rn.3631 /len=435
rc_AA859667_at	149.5	A	0.127645	-0.1	NC	0.500000	rc_AA859667 UI-R-E0-bs-c-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-c-11-0-UI /clone_end=3  /gb=AA859667 /gi=2949187 /ug=Rn.22624 /len=505
rc_AA859672_at	136.5	M	0.048995	-0.3	NC	0.500000	rc_AA859672 UI-R-E0-bs-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-d-04-0-UI /clone_end=3  /gb=AA859672 /gi=2949192 /ug=Rn.45 /len=459
rc_AA859672_g_at	241.7	A	0.117160	0.2	NC	0.500000	rc_AA859672 UI-R-E0-bs-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-d-04-0-UI /clone_end=3  /gb=AA859672 /gi=2949192 /ug=Rn.45 /len=459
rc_AA859673_at	6.5	A	0.956032	-0.5	NC	0.559457	rc_AA859673 UI-R-E0-bs-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-d-05-0-UI /clone_end=3  /gb=AA859673 /gi=2949193 /ug=Rn.46 /len=207
rc_AA859680_at	208.9	P	0.006532	0.0	NC	0.500000	rc_AA859680 UI-R-E0-bs-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-d-12-0-UI /clone_end=3  /gb=AA859680 /gi=2949200 /ug=Rn.22632 /len=437
rc_AA859680_g_at	825.9	P	0.005643	-0.2	NC	0.500000	rc_AA859680 UI-R-E0-bs-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bs-d-12-0-UI /clone_end=3  /gb=AA859680 /gi=2949200 /ug=Rn.22632 /len=437
rc_AA859687_at	57.2	A	0.175989	-0.1	NC	0.834561	rc_AA859687 UI-R-E0-bx-e-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-e-08-0-UI /clone_end=3  /gb=AA859687 /gi=2949207 /ug=Rn.22625 /len=486
rc_AA859688_at	1244.3	P	0.000266	-0.1	NC	0.500000	rc_AA859688 UI-R-E0-bx-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-e-09-0-UI /clone_end=3  /gb=AA859688 /gi=2949208 /ug=Rn.50 /len=438
rc_AA859690_at	34.3	A	0.234557	-0.5	NC	0.977292	rc_AA859690 UI-R-E0-bx-e-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-e-11-0-UI /clone_end=3  /gb=AA859690 /gi=2949210 /ug=Rn.51 /len=419
rc_AA859693_at	96.7	P	0.014923	-0.6	NC	0.990290	rc_AA859693 UI-R-E0-bx-f-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-02-0-UI /clone_end=3  /gb=AA859693 /gi=2949213 /ug=Rn.24864 /len=505
rc_AA859694_at	34.9	A	0.397994	-0.5	NC	0.865038	rc_AA859694 UI-R-E0-bx-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-03-0-UI /clone_end=3  /gb=AA859694 /gi=2949214 /ug=Rn.11493 /len=453
rc_AA859694_g_at	131.6	A	0.397994	0.4	NC	0.500000	rc_AA859694 UI-R-E0-bx-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-03-0-UI /clone_end=3  /gb=AA859694 /gi=2949214 /ug=Rn.11493 /len=453
rc_AA859700_at	69.8	A	0.339558	1.1	NC	0.403969	rc_AA859700 UI-R-E0-bx-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-10-0-UI /clone_end=3  /gb=AA859700 /gi=2949220 /ug=Rn.24738 /len=466
rc_AA859700_g_at	60.7	A	0.250724	-0.6	NC	0.958983	rc_AA859700 UI-R-E0-bx-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-10-0-UI /clone_end=3  /gb=AA859700 /gi=2949220 /ug=Rn.24738 /len=466
rc_AA859701_at	18.9	A	0.397994	0.1	NC	0.848129	rc_AA859701 UI-R-E0-bx-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-f-11-0-UI /clone_end=3  /gb=AA859701 /gi=2949221 /ug=Rn.7808 /len=448
rc_AA859705_at	252.4	P	0.000219	-0.3	NC	0.969251	rc_AA859705 UI-R-E0-bx-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-g-04-0-UI /clone_end=3  /gb=AA859705 /gi=2949225 /ug=Rn.61 /len=431
rc_AA859718_at	34.0	A	0.150527	-0.5	NC	0.955585	rc_AA859718 UI-R-E0-bx-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-h-05-0-UI /clone_end=3  /gb=AA859718 /gi=2949238 /ug=Rn.66 /len=476
rc_AA859719_at	171.5	P	0.021866	-0.4	NC	0.922359	rc_AA859719 UI-R-E0-bx-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-h-06-0-UI /clone_end=3  /gb=AA859719 /gi=2949239 /ug=Rn.67 /len=514
rc_AA859722_at	136.1	A	0.358690	2.0	NC	0.300289	rc_AA859722 UI-R-E0-bx-h-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-h-09-0-UI /clone_end=3  /gb=AA859722 /gi=2949242 /ug=Rn.70 /len=460
rc_AA859725_at	32.2	A	0.358690	1.0	NC	0.891423	rc_AA859725 UI-R-E0-bx-h-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-h-12-0-UI /clone_end=3  /gb=AA859725 /gi=2949245 /ug=Rn.71 /len=565
rc_AA859740_at	322.9	P	0.039365	-0.0	NC	0.500000	rc_AA859740 UI-R-E0-bx-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-b-06-0-UI /clone_end=3  /gb=AA859740 /gi=2949260 /ug=Rn.22626 /len=418
rc_AA859744_at	16.2	A	0.824011	-0.4	NC	0.794676	rc_AA859744 UI-R-E0-bx-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-b-10-0-UI /clone_end=3  /gb=AA859744 /gi=2949264 /ug=Rn.78 /len=330
rc_AA859750_at	121.2	P	0.031336	-0.1	NC	0.500000	rc_AA859750 UI-R-E0-bx-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-c-05-0-UI /clone_end=3  /gb=AA859750 /gi=2949270 /ug=Rn.7937 /len=441
rc_AA859752_at	30.2	A	0.127645	-0.3	NC	0.783877	rc_AA859752 UI-R-E0-bx-c-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-c-07-0-UI /clone_end=3  /gb=AA859752 /gi=2949272 /ug=Rn.116 /len=465
rc_AA859757_at	154.5	A	0.204022	0.4	NC	0.500000	rc_AA859757 UI-R-E0-bx-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-c-12-0-UI /clone_end=3  /gb=AA859757 /gi=2949277 /ug=Rn.117 /len=438
rc_AA859757_g_at	143.5	P	0.019304	-0.3	MD	0.997175	rc_AA859757 UI-R-E0-bx-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-c-12-0-UI /clone_end=3  /gb=AA859757 /gi=2949277 /ug=Rn.117 /len=438
rc_AA859760_at	164.7	P	0.035163	-0.3	NC	0.631784	rc_AA859760 UI-R-E0-bx-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-d-04-0-UI /clone_end=3  /gb=AA859760 /gi=2949280 /ug=Rn.120 /len=329
rc_AA859768_at	32.8	A	0.660442	0.5	NC	0.403969	rc_AA859768 UI-R-E0-bx-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bx-d-12-0-UI /clone_end=3  /gb=AA859768 /gi=2949288 /ug=Rn.123 /len=535
rc_AA859776_at	3.9	A	0.939581	-0.4	NC	0.659602	rc_AA859776 UI-R-E0-bu-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-e-09-0-UI /clone_end=3  /gb=AA859776 /gi=2949296 /ug=Rn.25153 /len=444
rc_AA859777_f_at	10.1	A	0.621816	-2.5	NC	0.969251	rc_AA859777 UI-R-E0-bu-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-e-10-0-UI /clone_end=3  /gb=AA859777 /gi=2949297 /ug=Rn.126 /len=320
rc_AA859788_at	100.4	P	0.019304	0.2	NC	0.500000	rc_AA859788 UI-R-E0-bu-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-f-11-0-UI /clone_end=3  /gb=AA859788 /gi=2949308 /ug=Rn.759 /len=423
rc_AA859796_at	141.5	P	0.011447	-0.3	NC	0.919605	rc_AA859796 UI-R-E0-bu-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-g-10-0-UI /clone_end=3  /gb=AA859796 /gi=2949316 /ug=Rn.4393 /len=501
rc_AA859804_at	221.8	A	0.073830	0.3	NC	0.500000	rc_AA859804 UI-R-E0-bu-h-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-h-07-0-UI /clone_end=3  /gb=AA859804 /gi=2949324 /ug=Rn.769 /len=455
rc_AA859805_at	119.7	A	0.138765	0.7	NC	0.500000	rc_AA859805 UI-R-E0-bu-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-h-10-0-UI /clone_end=3  /gb=AA859805 /gi=2949325 /ug=Rn.770 /len=433
rc_AA859806_at	1370.3	P	0.000219	-0.1	NC	0.500000	rc_AA859806 UI-R-E0-bu-h-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-bu-h-11-0-UI /clone_end=3  /gb=AA859806 /gi=2949326 /ug=Rn.771 /len=460
rc_AA859820_at	69.8	A	0.250724	-0.5	NC	0.955585	rc_AA859820 UI-R-E0-cc-f-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-f-02-0-UI /clone_end=3  /gb=AA859820 /gi=2949340 /ug=Rn.777 /len=561
rc_AA859827_at	62.1	A	0.358690	-0.6	NC	0.860937	rc_AA859827 UI-R-E0-cc-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-f-10-0-UI /clone_end=3  /gb=AA859827 /gi=2949347 /ug=Rn.24811 /len=500
rc_AA859828_at	5.2	A	0.926170	-0.3	NC	0.755488	rc_AA859828 UI-R-E0-cc-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-f-11-0-UI /clone_end=3  /gb=AA859828 /gi=2949348 /ug=Rn.782 /len=333
rc_AA859829_at	151.5	A	0.660442	-0.5	NC	0.825092	rc_AA859829 UI-R-E0-cc-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-f-12-0-UI /clone_end=3  /gb=AA859829 /gi=2949349 /ug=Rn.2197 /len=487
rc_AA859829_g_at	155.3	P	0.003067	-0.2	NC	0.500000	rc_AA859829 UI-R-E0-cc-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-f-12-0-UI /clone_end=3  /gb=AA859829 /gi=2949349 /ug=Rn.2197 /len=487
rc_AA859832_at	397.2	P	0.000266	-0.4	D	0.999618	rc_AA859832 UI-R-E0-cc-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-g-04-0-UI /clone_end=3  /gb=AA859832 /gi=2949352 /ug=Rn.22318 /len=558
rc_AA859834_at	58.0	A	0.561639	-0.5	NC	0.610447	rc_AA859834 UI-R-E0-cc-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cc-g-06-0-UI /clone_end=3  /gb=AA859834 /gi=2949354 /ug=Rn.22630 /len=486
